lon,lat,E,N,chainage1,chainage2,deltaE,deltaN,heading1,heading_medfilt,heading_movmean,piecenum,rad_heading_movmean,rad_delta_heading
113.0795,37.96866,-9129.23,16880.24,83.85,19343.11,-11.38,11,314.0181,314.0181,313.8062,27,5.47695182,-0.02905546
113.07937,37.96876,-9140.61,16891.24,83.87,19358.94,-11.72,10.59,312.0896,312.0896,312.1415,27,5.44789636,-0.02992806
113.07924,37.96886,-9152.34,16901.83,83.88,19374.74,-12.03,10.22,310.3374,310.3374,310.4267,28,5.4179683,-0.02851027
113.07911,37.96895,-9164.37,16912.05,83.9,19390.52,-12.29,9.82,308.6449,308.6449,308.7932,28,5.38945803,-0.02341995
113.07897,37.96904,-9176.66,16921.87,83.91,19406.26,-12.48,9.42,307.0435,307.0435,307.4513,28,5.36603808,-0.01884013
113.07883,37.96913,-9189.14,16931.29,83.93,19421.89,-12.62,9.12,305.8505,305.8505,306.3719,28,5.34719795,-0.01405659
113.07869,37.96921,-9201.76,16940.41,83.94,19437.46,-12.65,8.99,305.3803,305.3803,305.5665,28,5.33314136,-0.00934162
113.07855,37.9693,-9214.42,16949.4,83.96,19452.99,-12.69,8.86,304.9401,304.9401,305.0313,28,5.32379974,-0.00677558
113.0784,37.96938,-9227.1,16958.27,83.97,19468.46,-12.66,8.74,304.618,304.618,304.643,28,5.31702416,-0.00687719
113.07826,37.96946,-9239.76,16967,83.99,19483.84,-12.64,8.64,304.3673,304.3673,304.249,29,5.31014697,-0.00785108
113.07812,37.96954,-9252.4,16975.65,84,19499.16,-12.68,8.52,303.9095,303.9095,303.7992,29,5.30229589,-0.00936424
113.07798,37.96962,-9265.08,16984.17,84.02,19514.43,-12.71,8.39,303.4101,303.4101,303.2626,29,5.29293165,-0.01092838
113.07784,37.9697,-9277.79,16992.56,84.03,19529.66,-12.78,8.2,302.691,302.691,302.6365,30,5.28200327,-0.01242936
113.07769,37.96978,-9290.57,17000.76,84.05,19544.84,-12.85,8.01,301.9353,301.9353,301.9243,30,5.26957391,-0.01391303
113.07755,37.96985,-9303.42,17008.77,84.06,19559.99,-12.92,7.84,301.2366,301.2366,301.1272,30,5.25566088,-0.01475866
113.0774,37.96992,-9316.34,17016.6,84.08,19575.1,-13,7.61,300.3487,300.3487,300.2816,30,5.24090222,-0.01517883
113.07726,37.97,-9329.34,17024.21,84.09,19590.17,-13.09,7.39,299.4243,299.4243,299.4119,30,5.22572339,-0.01588744
113.07711,37.97006,-9342.44,17031.6,84.11,19605.2,-13.18,7.15,298.4629,298.4629,298.5016,30,5.20983595,-0.01522635
113.07696,37.97013,-9355.62,17038.75,84.12,19620.2,-13.25,6.92,297.5869,297.5869,297.6292,30,5.1946096,-0.01510637
113.07681,37.9702,-9368.87,17045.67,84.14,19635.15,-13.33,6.7,296.6851,296.6851,296.7637,31,5.17950323,-0.01490545
113.07666,37.97026,-9382.2,17052.37,84.15,19650.07,-13.37,6.52,295.9867,295.9867,295.9097,31,5.16459778,-0.01500857
113.07651,37.97032,-9395.58,17058.89,84.17,19664.95,-13.44,6.29,295.0967,295.0967,295.0497,31,5.14958921,-0.01436492
113.07636,37.97038,-9409.02,17065.19,84.18,19679.78,-13.49,6.06,294.1928,294.1928,294.2267,31,5.13522429,-0.01434587
113.07621,37.97044,-9422.5,17071.24,84.2,19694.57,-13.52,5.82,293.2873,293.2873,293.4047,31,5.12087842,-0.01458567
113.07606,37.97049,-9436.02,17077.06,84.21,19709.28,-13.54,5.63,292.5699,292.5699,292.569,31,5.10629275,-0.01462916
113.0759,37.97055,-9449.55,17082.69,84.23,19723.94,-13.55,5.44,291.8769,291.8769,291.7308,31,5.09166359,-0.0141177
113.07575,37.9706,-9463.11,17088.13,84.24,19738.55,-13.65,5.22,290.9182,290.9182,290.9219,32,5.07754589,-0.01426602
113.0756,37.97065,-9476.76,17093.35,84.26,19753.16,-13.75,5.01,290.0019,290.0019,290.1046,32,5.06327987,-0.01490217
113.07544,37.9707,-9490.51,17098.35,84.27,19767.8,-13.86,4.84,289.2429,289.2429,289.2507,32,5.0483777,-0.01467049
113.07529,37.97074,-9504.37,17103.19,84.29,19782.48,-13.95,4.66,288.483,288.483,288.4102,32,5.03370721,-0.01456669
113.07513,37.97079,-9518.32,17107.85,84.3,19797.18,-14.07,4.46,287.6077,287.6077,287.5756,32,5.01914052,-0.01481875
113.07497,37.97083,-9532.38,17112.32,84.32,19811.94,-14.15,4.25,286.7154,286.7154,286.7265,32,5.00432177,-0.01498651
113.07481,37.97087,-9546.53,17116.57,84.33,19826.71,-14.21,4.03,285.8288,285.8288,285.8679,32,4.98933526,-0.0149802
113.07465,37.97091,-9560.75,17120.6,84.35,19841.49,-14.27,3.82,284.9976,284.9976,285.0096,32,4.97435506,-0.01455277
113.07449,37.97095,-9575.02,17124.42,84.36,19856.26,-14.3,3.62,284.1897,284.1897,284.1757,32,4.95980229,-0.01472173
113.07433,37.97098,-9589.32,17128.04,84.38,19871.01,-14.35,3.4,283.3162,283.3162,283.3322,32,4.94508056,-0.01474312
113.07416,37.97102,-9603.67,17131.43,84.39,19885.76,-14.37,3.2,282.5464,282.5464,282.4875,32,4.93033744,-0.01497205
113.074,37.97105,-9618.04,17134.63,84.41,19900.48,-14.41,2.96,281.6114,281.6114,281.6297,32,4.91536539,-0.01468159
113.07384,37.97108,-9632.45,17137.59,84.42,19915.19,-14.43,2.75,280.774,280.774,280.7885,33,4.9006838,-0.01489104
113.07367,37.9711,-9646.88,17140.34,84.44,19929.88,-14.45,2.52,279.9005,279.9005,279.9353,33,4.88579276,-0.01457265
113.07351,37.97113,-9661.33,17142.86,84.45,19944.55,-14.47,2.32,279.1103,279.1103,279.1004,33,4.87122011,-0.01430589
113.07335,37.97115,-9675.8,17145.18,84.47,19959.21,-14.5,2.11,278.2804,278.2804,278.2807,33,4.85691422,-0.01401628
113.07318,37.97118,-9690.3,17147.29,84.48,19973.86,-14.52,1.89,277.4366,277.4366,277.4776,33,4.84289794,-0.01445728
113.07302,37.9712,-9704.82,17149.18,84.5,19988.5,-14.5,1.7,276.6757,276.6757,276.6493,33,4.82844066,-0.01431995
113.07285,37.97121,-9719.32,17150.88,84.51,20003.1,-14.54,1.5,275.8851,275.8851,275.8288,33,4.81412071,-0.01454836
113.07269,37.97123,-9733.86,17152.38,84.53,20017.72,-14.54,1.26,274.9685,274.9685,274.9952,33,4.79957235,-0.01457494
113.07252,37.97124,-9748.4,17153.64,84.54,20032.31,-14.53,1.06,274.178,274.178,274.1602,33,4.78499741,-0.01482044
